îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
2018/4/11,23.3,12.6
2018/4/12,22.2,8.4
2018/4/13,18.6,5.9
2018/4/14,23.4,4.2
2018/4/15,17.9,10
2018/4/16,18.5,6.9
2018/4/17,18.7,8.7
2018/4/18,20.4,9
2018/4/19,24.3,6.7
2018/4/20,27,9.7
2018/4/21,28.2,8
2018/4/22,27.9,10.1
2018/4/23,26,11.4
2018/4/24,20.7,16.3
2018/4/25,18.3,12.7
2018/4/26,22.7,11.9
2018/4/27,23.6,11
2018/4/28,24.9,9
2018/4/29,27.3,9.1
2018/4/30,24,12.2
2018/5/1,28.9,11.3
2018/5/2,21.2,15.7
2018/5/3,22.5,12
2018/5/4,19.8,10
2018/5/5,24,11
2018/5/6,27.9,9.2
2018/5/7,17.8,14.8
2018/5/8,18.9,14.4
2018/5/9,20,11.9
2018/5/10,19.4,7.4
2018/5/11,24.7,5.9
2018/5/12,25.2,9.3
2018/5/13,18.6,14.8
2018/5/14,25.3,13.3
2018/5/15,29.8,11.4
2018/5/16,29.4,15.1
2018/5/17,29.6,18.1
2018/5/18,29.6,18.6
2018/5/19,22.2,11.5
2018/5/20,22.5,9.5
2018/5/21,27,12.2
2018/5/22,27,10.2
2018/5/23,20.6,15.6
2018/5/24,27.4,14.7
2018/5/25,30.8,13.3
2018/5/26,28.6,16.7
2018/5/27,29.3,14.2
2018/5/28,27.2,18.1
2018/5/29,27.8,18.2
2018/5/30,21.5,15.8
2018/5/31,21.6,15.6
2018/6/1,25.5,14.2
2018/6/2,29.4,12.1
2018/6/3,30.1,15.4
2018/6/4,30.6,16.2
2018/6/5,27.4,15.9
2018/6/6,20.9,17.8
2018/6/7,28.9,19.2
2018/6/8,25.1,21.5
2018/6/9,28.4,17.9
2018/6/10,24.4,16.5
2018/6/11,27.7,20
2018/6/12,25.6,18.5
2018/6/13,24.7,15.3
2018/6/14,26.7,13.3
2018/6/15,22.5,17.6
2018/6/16,26.3,15.1
2018/6/17,28.4,13.4
2018/6/18,25.7,20.2
2018/6/19,26,18.7
2018/6/20,23.5,20
2018/6/21,27.5,19.8
2018/6/22,30.7,17.5
2018/6/23,23.5,19.3
2018/6/24,29.5,19.1
2018/6/25,34,18.8
2018/6/26,33.1,19.8
2018/6/27,33.9,24.9
2018/6/28,32.6,24.5
2018/6/29,32.5,22.4
2018/6/30,35,22.3
2018/7/1,33.8,23
2018/7/2,33.9,23.7
2018/7/3,32.3,22.2
2018/7/4,29.9,25.3
2018/7/5,27.5,22
2018/7/6,24.7,21.9
2018/7/7,25.8,22.8
2018/7/8,32.9,22.4
2018/7/9,33.3,21.6
2018/7/10,34.4,22.8
2018/7/11,33.5,22.5
2018/7/12,32.5,24.3
2018/7/13,34.8,23.6
2018/7/14,37,23.3
2018/7/15,37.6,24.1
2018/7/16,37.9,24.6
2018/7/17,37.4,25.5
2018/7/18,37.4,25.3
2018/7/19,38.4,23.2
2018/7/20,38.1,27.2
2018/7/21,36.9,27
2018/7/22,37.3,24.2
2018/7/23,37.6,26.1
2018/7/24,37.4,24.7
2018/7/25,38.1,22.3
2018/7/26,37.6,26.9
2018/7/27,34.4,26.3
2018/7/28,33.6,25.1
2018/7/29,32,25
2018/7/30,31.9,24.8
2018/7/31,34,24.3
2018/8/1,36.4,23.6
2018/8/2,36.8,24.5
2018/8/3,37.4,24
2018/8/4,37,21.1
2018/8/5,38.3,22.3
2018/8/6,36.3,25.4
2018/8/7,33.7,23.5
2018/8/8,31.7,20.8
2018/8/9,32.1,24.5
2018/8/10,34.6,25.6
2018/8/11,36.9,23.8
2018/8/12,36.5,26.4
2018/8/13,38,25.3
2018/8/14,37.1,25.4
2018/8/15,32.8,26.2
2018/8/16,32.4,23.9
2018/8/17,29.4,17.5
2018/8/18,32.3,15.9
2018/8/19,30.5,19.2
2018/8/20,30.8,19.4
2018/8/21,33.9,25.7
2018/8/22,35.5,24.2
2018/8/23,32.1,25
2018/8/24,34,25
2018/8/25,34.9,25.6
2018/8/26,35.2,23.5
2018/8/27,35,24
2018/8/28,32.9,24
2018/8/29,35.7,24.3
2018/8/30,34.5,22.8
2018/8/31,34.5,23.4
2018/9/1,26.2,22.3
2018/9/2,30.7,21
2018/9/3,31.7,20.4
2018/9/4,29.5,24.2
2018/9/5,31.1,21.9
2018/9/6,29.2,20.9
2018/9/7,29.2,22.5
2018/9/8,24.3,20.9
2018/9/9,27.2,21.8
2018/9/10,26.7,18.7
2018/9/11,27.7,18.2
2018/9/12,23.3,20.8
2018/9/13,26,20.2
2018/9/14,24.8,21.2
2018/9/15,28,21.3
2018/9/16,31.5,22.3
2018/9/17,27.7,19.4
2018/9/18,28.7,18.1
2018/9/19,29.4,16.9
2018/9/20,20.3,18.1
2018/9/21,24.9,19.7
2018/9/22,27.9,18.1
2018/9/23,28.7,16.4
2018/9/24,28.5,17.4
2018/9/25,23.1,17.1
2018/9/26,23,14.9
2018/9/27,23.4,15.1
2018/9/28,27.1,13.3
2018/9/29,19.8,15.8
2018/9/30,26.1,18.2
2018/10/1,24.7,13.6
2018/10/2,25.1,12.3
2018/10/3,26.4,13.8
2018/10/4,21,14.7
2018/10/5,26,19.1
2018/10/6,30.2,22.3
2018/10/7,27.6,17.8
2018/10/8,27.6,14.4
2018/10/9,26.8,13.9
2018/10/10,23,16
2018/10/11,20.6,16.8
2018/10/12,21.1,11.1
2018/10/13,22.7,10.1
2018/10/14,23.7,14.9
2018/10/15,22.6,13.7
2018/10/16,22.2,12.5
2018/10/17,22.7,11.4
2018/10/18,24.2,10.3
2018/10/19,24.1,11.1
2018/10/20,21.5,8.2
2018/10/21,22.8,6.8
2018/10/22,23.7,8
2018/10/23,20.4,11.2
2018/10/24,23,10.4
2018/10/25,22.4,8.4
2018/10/26,25,6.8
2018/10/27,22.5,9.8
2018/10/28,20.5,6.7
2018/10/29,21.2,8.8
2018/10/30,20.6,9
2018/10/31,17.7,7.9
2018/11/1,18,6.4
2018/11/2,18.5,5.2
2018/11/3,20.4,6.5
2018/11/4,19.2,9.3
2018/11/5,22.7,9.7
2018/11/6,22.2,11.5
2018/11/7,21.9,10.3
2018/11/8,23.6,9.6
2018/11/9,21.5,15.7
2018/11/10,21,8.7
2018/11/11,20.1,6.4
2018/11/12,18,9.2
2018/11/13,18.2,10.4
2018/11/14,15.1,6.7
2018/11/15,17.6,4.6
2018/11/16,18.3,3.5
2018/11/17,19.5,6.7
2018/11/18,18.7,4.8
2018/11/19,14.3,5.3
2018/11/20,16.4,4.6
2018/11/21,16.1,2.6
2018/11/22,13.6,7.4
2018/11/23,11.9,2.5
2018/11/24,13.1,0.5
2018/11/25,16.7,1.1
2018/11/26,16.3,3.4
2018/11/27,19.3,5.9
2018/11/28,18.3,7.1
2018/11/29,16.6,4.5
2018/11/30,16.4,2.8
2018/12/1,16.9,5.4
2018/12/2,17.2,2.7
2018/12/3,16.8,10.4
2018/12/4,23.3,12.8
2018/12/5,19.1,6.6
2018/12/6,13.5,6.3
2018/12/7,15.2,6.9
2018/12/8,10.9,3
2018/12/9,8.4,1.2
2018/12/10,8.7,0.1
2018/12/11,11.5,-2.2
2018/12/12,12.1,1.7
2018/12/13,10.8,0.4
2018/12/14,9.8,3.1
2018/12/15,9.3,1
2018/12/16,9.6,-2.6
2018/12/17,14.7,6.5
2018/12/18,11.9,3
2018/12/19,12.5,-0.6
2018/12/20,12.9,3.7
2018/12/21,14.9,5.8
2018/12/22,13.7,6.5
2018/12/23,15.4,7.6
2018/12/24,11.9,0.2
2018/12/25,11.9,-1.9
2018/12/26,9.8,1.1
2018/12/27,12,3.5
2018/12/28,6.7,-1.7
2018/12/29,7.7,-3.1
2018/12/30,8.1,-2.6
2018/12/31,7.2,-1.2
